                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7393,                 4.5416,                 4.2802,                0.00122,                   0.36,                0.00157,                0.00053,                 3.6941,                 4.8066,                 4.1571,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.7128,                 4.2626,                 4.1984,                0.00122,                   0.36,                0.00173,                0.00053,                 3.6851,                  4.785,                 4.1522,             0.00041168,             0.00041168,             0.00041168
                      3,                 3.4854,                 4.0858,                 4.1105,                0.00129,                   0.38,                0.00383,                  0.001,                 3.6709,                 4.7323,                 4.1403,             0.00061466,             0.00061466,             0.00061466
                      4,                  3.406,                 3.9317,                 3.9899,                0.00116,                   0.34,                 0.0024,                0.00076,                 3.6747,                 4.6101,                 4.1388,             0.00080892,             0.00080892,             0.00080892
                      5,                 3.3036,                 3.7521,                 3.7953,                0.00129,                   0.38,                0.00242,                0.00074,                 3.7418,                 4.4925,                 4.1876,             0.00099446,             0.00099446,             0.00099446
                      6,                 3.1193,                 3.6454,                 3.7038,                0.00136,                    0.4,                0.00269,                0.00078,                 3.6238,                  4.489,                 4.0986,              0.0011713,              0.0011713,              0.0011713
                      7,                 3.0572,                 3.4778,                 3.5941,                0.00224,                   0.66,                 0.0047,                0.00148,                 3.0293,                 4.3892,                 3.6356,              0.0013394,              0.0013394,              0.0013394
                      8,                  2.854,                 3.4571,                 3.4812,                0.03895,                   0.04,                0.05264,                0.01571,                 2.7615,                 3.9482,                 3.3632,              0.0014988,              0.0014988,              0.0014988
                      9,                 2.9631,                 3.2202,                 3.3982,                0.16203,                   0.28,                 0.1053,                 0.0324,                 2.8268,                 3.7405,                 3.7277,              0.0016495,              0.0016495,              0.0016495
                     10,                 2.8578,                 3.2961,                 3.3986,                0.04282,                   0.46,                0.03375,                0.01021,                 2.7633,                 13.488,                 4.1481,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.8866,                 3.2184,                 3.3183,                0.06189,                   0.08,                0.02615,                 0.0048,                 3.4359,                 4.4432,                 4.1505,               0.001604,               0.001604,               0.001604
                     12,                 2.7091,                 3.2039,                 3.2985,                0.11712,                    0.1,                0.03727,                0.01051,                 2.9804,                 4.1222,                 3.5612,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.7456,                 3.1845,                 3.2116,                0.20076,                   0.08,                0.03997,                0.01199,                 2.8524,                 3.9007,                  3.352,              0.0015248,              0.0015248,              0.0015248
                     14,                  2.681,                 3.0612,                   3.16,                0.19796,                    0.1,                0.05821,                0.02415,                 2.6948,                   3.95,                 3.3539,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.6257,                 3.0784,                 3.1704,                 0.4316,                   0.06,                0.04273,                0.00973,                   3.32,                 4.3423,                 4.0364,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.7118,                 2.9776,                  3.201,                0.04261,                    0.1,                0.02941,                0.00732,                 2.7045,                 7.3095,                 3.4554,               0.001406,               0.001406,               0.001406
                     17,                 2.6659,                 2.9481,                 3.1867,                0.02284,                   0.28,                0.01711,                0.00515,                 2.8455,                 5.5531,                 3.4354,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.5313,                  2.951,                 3.1507,                0.17031,                   0.36,                0.11464,                0.03287,                 2.5797,                 5.7361,                 3.1593,              0.0013268,              0.0013268,              0.0013268
                     19,                  2.655,                 2.8958,                 3.1544,                0.48036,                   0.46,                0.37767,                0.14978,                 2.4098,                  4.252,                 3.0438,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.4885,                 2.8701,                 3.0991,                0.32632,                   0.36,                0.24364,                0.08707,                 2.5107,                 3.0808,                 3.0735,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.4818,                 2.7597,                 3.0027,                0.58163,                   0.36,                 0.3617,                0.14008,                 2.4668,                 3.0715,                 2.9921,               0.001208,               0.001208,               0.001208
