epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2127,3.38697,3.97015,4.09578,0.09863,0.17857,0.04585,0.01012,2.81931,4.16545,3.90817,0.00332756,0.00332756,0.00332756
2,116.131,2.70639,3.26318,3.2812,0.32606,0.25,0.12863,0.03391,2.49051,3.75161,3.41098,0.00663891,0.00663891,0.00663891
3,170.05,2.22403,2.85521,2.63764,0.0691,0.09524,0.03199,0.00981,2.12405,4.56888,2.701,0.00992826,0.00992826,0.00992826
4,223.284,2.04325,2.64378,2.39054,0.47808,0.42857,0.3948,0.18052,1.93851,2.63007,2.42527,0.009901,0.009901,0.009901
5,276.4,1.9678,2.53957,2.28173,0.65928,0.60714,0.59312,0.25517,1.88725,2.28946,2.40927,0.009868,0.009868,0.009868
6,329.765,1.92029,2.44201,2.21248,0.59565,0.49108,0.57366,0.28482,1.68555,2.05689,2.19352,0.009835,0.009835,0.009835
7,383.098,1.8947,2.38734,2.16568,0.54585,0.5,0.52325,0.24894,1.77957,2.72743,2.14919,0.009802,0.009802,0.009802
8,436.397,1.86129,2.33004,2.13277,0.58075,0.57143,0.56106,0.26047,1.67487,2.00925,2.09212,0.009769,0.009769,0.009769
9,489.912,1.83213,2.29301,2.10527,0.75283,0.59524,0.70988,0.32752,1.78696,2.11838,2.23101,0.009736,0.009736,0.009736
10,543.484,1.8248,2.26971,2.09203,0.80822,0.66667,0.74903,0.37649,1.7169,1.92778,2.15314,0.009703,0.009703,0.009703
11,596.997,1.81174,2.24211,2.07766,0.76028,0.67857,0.72464,0.35774,1.63142,1.90012,2.02991,0.00967,0.00967,0.00967
12,650.385,1.7979,2.21065,2.0586,0.78267,0.6431,0.75223,0.3783,1.63678,1.97432,2.05576,0.009637,0.009637,0.009637
13,703.67,1.79126,2.19505,2.04627,0.66247,0.69048,0.67696,0.34459,1.61677,1.8165,2.02549,0.009604,0.009604,0.009604
14,757.06,1.78201,2.17597,2.03231,0.81641,0.60714,0.72621,0.36859,1.57204,2.07117,1.97888,0.009571,0.009571,0.009571
15,810.711,1.77016,2.14642,2.01789,0.70018,0.67857,0.67519,0.37657,1.54033,1.90406,1.9035,0.009538,0.009538,0.009538
16,864.029,1.7619,2.13254,2.01525,0.80623,0.67857,0.77784,0.40962,1.54807,1.86942,1.95491,0.009505,0.009505,0.009505
17,917.426,1.76253,2.12692,2.01069,0.7918,0.67857,0.7037,0.37458,1.52384,1.90545,1.90476,0.009472,0.009472,0.009472
18,970.632,1.74388,2.10485,1.99465,0.87401,0.71429,0.77261,0.43061,1.51502,1.61804,1.94793,0.009439,0.009439,0.009439
19,1024.14,1.73815,2.09061,1.98774,0.81625,0.69048,0.77036,0.43677,1.47342,1.77441,1.87159,0.009406,0.009406,0.009406
20,1077.49,1.73686,2.07174,1.97174,0.8338,0.71429,0.79186,0.42911,1.54287,1.65609,1.9464,0.009373,0.009373,0.009373
21,1130.75,1.73291,2.06938,1.97392,0.76704,0.70558,0.77651,0.39304,1.60402,1.69171,2.00783,0.00934,0.00934,0.00934
22,1184.49,1.72794,2.04144,1.96317,0.83671,0.79304,0.84875,0.47194,1.45996,1.5025,1.837,0.009307,0.009307,0.009307
23,1237.74,1.72609,2.04954,1.95687,0.76141,0.78571,0.82916,0.43703,1.47259,1.65294,1.85945,0.009274,0.009274,0.009274
24,1291.27,1.72174,2.03836,1.95539,0.79058,0.76403,0.79908,0.45665,1.49037,1.51457,1.86773,0.009241,0.009241,0.009241
25,1344.52,1.70699,2.02288,1.94993,0.83867,0.80459,0.83277,0.46964,1.42391,1.70631,1.81851,0.009208,0.009208,0.009208
26,1397.6,1.71175,2.02442,1.95398,0.8529,0.7593,0.84333,0.46853,1.44414,1.42987,1.84704,0.009175,0.009175,0.009175
27,1451,1.70484,2.01062,1.9452,0.75356,0.71429,0.77979,0.43585,1.44932,1.61417,1.87144,0.009142,0.009142,0.009142
28,1504.67,1.70614,1.99132,1.93311,0.76975,0.77381,0.80151,0.44669,1.51037,1.44762,1.8713,0.009109,0.009109,0.009109
29,1558.51,1.69447,1.98416,1.92874,0.85374,0.77381,0.85158,0.49742,1.42462,1.49701,1.75588,0.009076,0.009076,0.009076
30,1611.78,1.69802,1.989,1.92485,0.89869,0.7619,0.84566,0.48216,1.4283,1.35345,1.83147,0.009043,0.009043,0.009043
31,1665.11,1.69208,1.97286,1.92353,0.7948,0.78389,0.83599,0.46558,1.45439,1.42305,1.81378,0.00901,0.00901,0.00901
32,1718.24,1.69625,1.9689,1.92352,0.80213,0.71429,0.79612,0.46739,1.43943,1.48547,1.81864,0.008977,0.008977,0.008977
33,1771.72,1.68912,1.96074,1.91699,0.86336,0.75223,0.83441,0.47162,1.43361,1.45126,1.79918,0.008944,0.008944,0.008944
34,1825.35,1.67322,1.9565,1.91165,0.82519,0.79762,0.83761,0.49565,1.43006,1.37128,1.81599,0.008911,0.008911,0.008911
35,1878.9,1.68075,1.95143,1.91044,0.8915,0.78571,0.85828,0.50844,1.36221,1.39449,1.74184,0.008878,0.008878,0.008878
36,1932.27,1.6832,1.96087,1.9125,0.87478,0.79762,0.86254,0.49306,1.39672,1.39961,1.73956,0.008845,0.008845,0.008845
37,1985.79,1.68059,1.94318,1.91193,0.88239,0.82143,0.88769,0.51369,1.37386,1.28805,1.74233,0.008812,0.008812,0.008812
38,2039.52,1.67564,1.9313,1.90024,0.90358,0.78096,0.8803,0.49617,1.39507,1.29369,1.76073,0.008779,0.008779,0.008779
39,2092.66,1.67217,1.92081,1.90775,0.86874,0.82143,0.8954,0.52824,1.35225,1.32486,1.73741,0.008746,0.008746,0.008746
